0.1,"British Columbia","--Tout le fenetre--",
0,"Alberni-Clayoquot","Alberni-Clayoquot",-125.423515947632:49.6421686612091,-124.692822893216:49.281803054416,-124.533858722077:48.9341282201046,-125.245974852688:48.5618403445689,-126.786952033515:49.4660608032636,-125.485796166421:49.4782444940376,
0,"Bulkley-Nechako","Bulkley-Nechako",-124.431762274028:56.0043037514345,-123.844669482789:55.3404070740571,-123.407274474642:55.2407902870146,-123.542544203414:54.9629174196507,-124.046626870532:54.9368125457851,-123.269306835685:53.4727807970529,-124.997802622276:53.4674348527204,-124.996529914916:53.001093755424,-126.782848903043:52.9976209876064,-128.077793095906:53.9097463417686,-127.507141652531:54.370718282338,-127.823430277380:55.0030798500177,-126.642209959532:55.1232127547268,-128.485140204924:55.9568061751278,
0,"Cariboo","Cariboo",-120.992918400196:53.4287133284568,-120.112220422236:52.875449655933,-120.522735188002:52.471739197255,-120.187035638730:51.9672742469036,-120.541313947406:51.432655196704,-122.384511008206:51.5163836957688,-122.605632174191:51.08345211161,-123.061189582815:51.2195914054917,-123.657021316184:50.8812490247171,-125.326013660899:51.3929855601733,-125.235360897463:51.7533200791534,-125.670359718530:52.1135197370087,-125.369519455591:52.3913635468493,-125.876336830173:52.635959250205,-126.328007946560:52.522226954051,-126.34144182665:52.8265344390197,-126.641676681554:52.8485202242873,-126.623126394387:53.0011906805658,-124.996529914916:53.001093755424,-124.997802622276:53.4674348527204,-124.760758960704:53.3543778816614,-124.524023809821:53.5350275454441,-123.294843769519:53.4727248393203,-123.284013404163:53.282482517868,
0,"Central Coast","Central Coast",-126.623126394387:53.0011906805658,-126.350576871786:52.5325437990012,-125.876336830173:52.635959250205,-125.338685452062:52.3419459491225,-125.575184352606:51.9130672799518,-125.878799077683:51.9582606804796,-125.851030296862:51.4569866004889,-128.127894238750:51.1391551119662,-129.221553413055:52.1246574141478,-128.136895750957:52.6861948248782,-127.223597923336:52.8254523856079,-127.266329735566:53.2787752546755,
0,"Central Kootenay","Central Kootenay",-116.766298258091:50.72699674751,-116.414302255635:50.1347519354263,-116.632444683411:49.470317845973,-116.260651320169:49.5178060364985,-115.995724142079:48.9978474287373,-117.443809357503:48.9987523691734,-117.455737653704:49.1731821001659,-118.228277742557:49.3617248028865,-118.472240720911:50.0323244400694,-118.186759903436:50.6778123848614,-117.292841961167:50.4880741479291,-117.462996147009:50.8817226234992,-117.18900375461:51.0636511068853,
0,"Central Okanagan","Central Okanagan",-119.026373717373:49.8109354837731,-119.402689071179:49.6733335337098,-120.038437187853:49.8680263465117,-119.449886650626:50.2342922561823,-118.774055098302:50.0241655681701,
0,"Columbia-Shuswap","Columbia-Shuswap",-118.782888206357:52.1766056502364,-117.971560830568:52.4982637866156,-117.694455466464:52.3891131568134,-117.766988736714:52.2193773317876,-117.285031244812:52.1559903554705,-116.288669910809:51.454441661323,-116.291158416845:50.9477966763572,-116.778712618536:50.7246895528941,-117.314705477451:51.0388343258014,-117.226891642022:50.5319177563745,-117.484713959951:50.4620732793302,-117.969593012492:50.4987174106839,-118.528983790057:50.938645015691,-119.630834720748:50.3941278012215,-119.427295445745:50.8373896577556,-119.687965692017:50.9830888514069,-118.928196471015:51.4611585208154,
0,"Comox-Strathcona","Comox-Strathcona",-123.750887541841:50.8850371386725,-124.599198129497:50.6593692007062,-124.918112284796:49.9823164256593,-124.343822335290:49.4363425799996,-125.423515947632:49.6421686612091,-125.485796166421:49.4782444940376,-126.786952033515:49.4660608032636,-128.09146383965:49.9983954181825,-127.09254555043:50.340224971693,-126.343130586897:49.9219386529719,-125.982486072567:50.2881276031096,-126.297777174454:50.5286695607641,-125.640328541588:50.6240459510578,-125.244563321100:51.3962521015312,
0,"Cowichan Valley","Cowichan Valley",-123.617824193574:48.9850552415835,-123.578141252914:48.5210108415334,-124.273376354408:48.7205032688362,-124.677006090435:48.4490298264157,-125.245974852688:48.5618403445689,-124.544994491129:48.8998896377066,-124.574856061387:49.1484523469877,-124.38263207684:48.9860688064864,
0,"CRD","CRD",-122.999152341016:48.7645700849322,-123.261829903759:48.6938618581925,-123.230584917389:48.2875342440555,-123.538021823245:48.22417161953,-124.677006090435:48.4490298264157,-124.273376354408:48.7205032688362,-123.578141252914:48.5210108415334,-123.561778223804:49.018667625545,
0,"East Kootenay","East Kootenay",-116.766298258091:50.72699674751,-116.291158416845:50.9477966763572,-116.226117162538:51.3068850193215,-115.660098775373:51.0262468866849,-114.762591147997:50.3720138241663,-114.680620002788:49.566781942821,-114.028417171302:49.0110125610242,-115.995724142079:48.9978474287373,-116.260651320169:49.5178060364985,-116.632444683411:49.470317845973,-116.414302255635:50.1347519354263,
0,"Fort Nelson-Liard","Fort Nelson-Liard",-127.730430927028:60.0112124892084,-119.968709274386:60.0055797203328,-119.977248553388:58.0068363180566,-124.845611749226:58.0087586109953,-124.909598003017:58.2632329843973,-126.908565676514:58.6476234333307,
0,"Fraser-Fort George","Fraser-Fort George",-123.923285708618:55.5601017826828,-123.704921207822:55.9839398723363,-121.38164120423:54.5349145777472,-120.162169369550:54.1190807707935,-119.6700081957:53.375831972225,-118.721206996292:53.1304583625266,-118.229876521452:52.3493328360942,-118.782888206357:52.1766056502364,-118.918632541415:52.5779792373673,-119.943699184319:52.7199074416964,-120.992918400196:53.4287133284568,-123.293919649151:53.2859652223731,-124.046626870532:54.9368125457851,-123.381413653858:55.1778499633847,
